time,ax,ay,az,aT
18.5140,3.4189,-2.4181,-3.1843,5.261
18.5200,0.1197,4.6926,9.3948,10.502
18.5950,-1.4509,5.7748,8.9926,10.785
18.6470,-1.7142,0.1389,-1.0582,2.019
18.7530,0.2538,-3.2992,-3.5243,4.834
18.7770,1.3743,-4.3958,-4.7980,6.651
18.8450,1.5131,-3.7493,-3.3375,5.243
18.9120,-2.2553,2.5762,4.0797,5.326
18.9780,-1.7526,7.9009,8.0302,11.401
19.0450,1.6185,2.1021,0.0383,2.653
19.1100,4.3862,-2.0734,-3.2034,5.814
19.1760,5.4109,-3.5291,-4.1324,7.669
19.2530,4.4819,-2.4421,-2.2841,5.592
19.3070,0.4884,2.8922,3.7637,4.772
19.4090,-2.8204,7.6950,9.9072,12.858
19.4410,-2.4134,1.3216,0.8140,2.869
19.5140,0.0622,-3.3327,-2.5139,4.175
19.5740,1.8531,-6.1292,-4.9129,8.071
19.6410,2.5905,-5.5115,-5.7365,8.366
19.7070,1.8723,-1.6328,-1.9010,3.128
19.7740,-0.1245,5.2146,5.4971,7.578
19.8380,-0.6991,8.3845,11.7220,14.429
19.9330,0.5938,0.3543,0.0048,0.691
19.9860,2.5666,-3.7110,-4.1899,6.157
20.1290,3.8164,-5.6024,-6.0813,9.107
20.1360,3.9169,-3.1173,-3.9744,6.392
20.1700,1.8723,1.7047,2.5953,3.626
20.2710,-2.6049,7.5130,12.7946,15.064
20.3180,-2.4038,1.9154,1.4126,3.383
20.4440,0.8475,-3.1651,-2.4421,4.087
20.4520,1.6999,-5.1858,-4.9368,7.359
20.5970,1.0918,-5.2625,-6.4165,8.370
20.6040,-1.8962,1.3216,1.6999,2.869
20.6430,-2.1931,7.2640,10.3860,12.863
20.7030,1.0487,3.0885,1.7669,3.710
20.7680,4.2569,-1.5514,-2.6049,5.226
20.8350,4.7740,-4.1228,-5.4684,8.348
20.9000,4.8507,-4.2042,-4.0941,7.614
20.9970,3.3184,-0.8092,0.2059,3.422
21.0440,-1.8196,5.7700,7.6423,9.747
21.1540,-3.2322,6.2249,7.7572,10.458
21.1680,-0.0048,0.0718,0.3448,0.352
21.2320,1.7190,-4.7740,-3.7589,6.315
21.3050,1.3982,-6.1100,-5.8131,8.549
21.3640,1.2881,-4.3670,-4.8746,6.670
21.4470,0.6033,1.4174,-0.3017,1.570
21.5020,-0.3926,7.7955,12.8760,15.057
21.6500,0.8667,3.7924,4.1180,5.665
21.6580,1.9872,-1.2498,-2.6959,3.575
21.8610,2.5570,-3.7541,-5.1906,6.897
21.8650,3.0406,-4.6064,-6.4596,8.497
21.8660,3.1316,-2.1931,-2.6432,4.648
21.9950,1.7861,4.5873,8.1499,9.521
22.0020,-0.1389,6.3542,9.7205,11.614
22.0930,-2.3655,0.1867,-1.1205,2.624
22.0940,-0.5219,-3.2705,-4.1276,5.292
22.1600,0.4214,-4.7501,-5.8083,7.515
22.2310,0.4645,-3.5626,-4.0654,5.425
22.2930,-1.7430,1.9201,1.4892,2.990
22.3590,-2.5283,7.7285,10.8984,13.598
22.4260,2.8778,3.6919,3.5291,5.862
22.5130,5.4875,-1.8340,-2.7533,6.408
22.5580,6.3015,-4.6448,-4.8890,9.230
22.6710,3.7158,-4.6926,-4.3766,7.415
22.6920,0.7901,1.0678,1.9058,2.323
22.7570,-3.8690,8.4851,10.6063,14.123
22.8350,-2.0446,3.6823,2.6193,4.960
22.8910,0.8332,-2.7821,-2.0207,3.538
23.0040,2.2553,-6.2010,-5.0518,8.310
23.0240,2.5235,-6.2776,-5.4013,8.657
23.1530,1.7765,-2.6480,-1.5467,3.544
23.1610,-0.4980,3.9409,2.6959,4.801
23.2350,-2.6193,9.3709,12.2583,15.651
23.2880,0.9768,1.7717,0.9337,2.228
23.3600,2.7821,-2.9305,-3.6679,5.457
23.4210,2.9832,-5.0326,-5.7557,8.207
23.5190,3.2848,-4.2329,-5.0135,7.338
23.5580,2.7438,0.5555,-0.2634,2.812
23.6780,0.3926,7.9823,12.7372,15.037
23.6850,-2.3703,3.4812,3.7493,5.639
23.7530,-1.4796,-1.2258,-2.4756,3.134
23.8520,-0.0718,-5.2816,-5.3582,7.524
23.9290,1.0391,-5.3486,-5.3343,7.625
23.9530,-0.1628,-1.6089,-1.1971,2.012
24.0220,-1.2258,6.2393,8.0972,10.295
24.0910,1.5227,6.8953,7.4220,10.245
24.2320,3.4333,0.1293,-2.0830,4.018
24.2390,4.8028,-4.0031,-4.8363,7.904
24.3020,4.6352,-4.8554,-6.0047,9.006
